Taxonomy,Species.name,Genus.name,Family.name,Order.name
BirdLife,Aerodramus leucophaeus,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus maximus,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus mearnsi,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus nuditarsus,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus orientalis,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus papuensis,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus pelewensis,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus salangana,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus sawtelli,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus spodiopygius,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus terraereginae,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus unicolor,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus vanikorensis,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus vulcanorum,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aerodramus whiteheadi,Aerodramus,Apodidae,Caprimulgiformes
BirdLife,Aeronautes andecolus,Aeronautes,Apodidae,Caprimulgiformes
BirdLife,Aeronautes montivagus,Aeronautes,Apodidae,Caprimulgiformes
BirdLife,Aeronautes saxatalis,Aeronautes,Apodidae,Caprimulgiformes
BirdLife,Aethia cristatella,Aethia,Alcidae,Charadriiformes
BirdLife,Aethia psittacula,Aethia,Alcidae,Charadriiformes
BirdLife,Aethia pusilla,Aethia,Alcidae,Charadriiformes
BirdLife,Aethia pygmaea,Aethia,Alcidae,Charadriiformes
BirdLife,Aethopyga bella,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga boltoni,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga christinae,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga duyvenbodei,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga eximia,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga flagrans,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga gouldiae,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga guimarasensis,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga ignicauda,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga latouchii,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga linaraborae,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga magnifica,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga mystacalis,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga nipalensis,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga primigenia,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga pulcherrima,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga saturata,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga shelleyi,Aethopyga,Nectariniidae,Passeriformes
