"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"99" 4230 "Chaetura_pelagica" "Apodiformes" "Apodidae" "Chaetura" "pelagica" "Chaetura_pelagica"
"100" 4240 "Chaetura_vauxi" "Apodiformes" "Apodidae" "Chaetura" "vauxi" "Chaetura_vauxi"
"101" 4250 "Aeronautes_saxatalis" "Apodiformes" "Apodidae" "Aeronautes" "saxatalis" "Aeronautes_saxatalis"
"102" 4260 "Eugenes_fulgens" "Apodiformes" "Trochilidae" "Eugenes" "fulgens" "Eugenes_fulgens"
"103" 4270 "Lampornis_clemenciae" "Apodiformes" "Trochilidae" "Lampornis" "clemenciae" "Lampornis_clemenciae"
"104" 4370 "Calothorax_lucifer" "Apodiformes" "Trochilidae" "Calothorax" "lucifer" "Calothorax_lucifer"
"105" 4280 "Archilochus_colubris" "Apodiformes" "Trochilidae" "Archilochus" "colubris" "Archilochus_colubris"
"106" 4290 "Archilochus_alexandri" "Apodiformes" "Trochilidae" "Archilochus" "alexandri" "Archilochus_alexandri"
"107" 4295 "Archilochus_colubris" "Apodiformes" "Trochilidae" "Archilochus" "colubris" "Archilochus_colubris"
"108" 4310 "Calypte_anna" "Apodiformes" "Trochilidae" "Calypte" "anna" "Calypte_anna"
"109" 4300 "Calypte_costae" "Apodiformes" "Trochilidae" "Calypte" "costae" "Calypte_costae"
"110" 4320 "Selasphorus_platycercus" "Apodiformes" "Trochilidae" "Selasphorus" "platycercus" "Selasphorus_platycercus"
"111" 4330 "Selasphorus_rufus" "Apodiformes" "Trochilidae" "Selasphorus" "rufus" "Selasphorus_rufus"
"112" 4340 "Selasphorus_sasin" "Apodiformes" "Trochilidae" "Selasphorus" "sasin" "Selasphorus_sasin"
"113" 4335 "Selasphorus_rufus" "Apodiformes" "Trochilidae" "Selasphorus" "rufus" "Selasphorus_rufus"
"115" 4360 "Selasphorus_calliope" "Apodiformes" "Trochilidae" "Selasphorus" "calliope" "Stellula_calliope"
"116" 4410 "Cynanthus_latirostris" "Apodiformes" "Trochilidae" "Cynanthus" "latirostris" "Cynanthus_latirostris"
"117" 4391 "Amazilia_violiceps" "Apodiformes" "Trochilidae" "Amazilia" "violiceps" "Amazilia_violiceps"
"118" 2150 "Coturnicops_noveboracensis" "Gruiformes" "Rallidae" "Coturnicops" "noveboracensis" "Coturnicops_noveboracensis"
"119" 2160 "Laterallus_jamaicensis" "Gruiformes" "Rallidae" "Laterallus" "jamaicensis" "Laterallus_jamaicensis"
"120" 2111 "Rallus_obsoletus" "Gruiformes" "Rallidae" "Rallus" "obsoletus" "Rallus_longirostris"
"121" 2110 "Rallus_crepitans" "Gruiformes" "Rallidae" "Rallus" "crepitans" "Rallus_longirostris"
"122" 2080 "Rallus_elegans" "Gruiformes" "Rallidae" "Rallus" "elegans" "Rallus_elegans"
"123" 2120 "Rallus_limicola" "Gruiformes" "Rallidae" "Rallus" "limicola" "Rallus_limicola"
"124" 2140 "Porzana_carolina" "Gruiformes" "Rallidae" "Porzana" "carolina" "Porzana_carolina"
"125" 2180 "Porphyrio_martinicus" "Gruiformes" "Rallidae" "Porphyrio" "martinicus" "Porphyrio_martinica"
"126" 2190 "Gallinula_galeata" "Gruiformes" "Rallidae" "Gallinula" "galeata" "Gallinula_chloropus"
"127" 2210 "Fulica_americana" "Gruiformes" "Rallidae" "Fulica" "americana" "Fulica_americana"
"128" 2070 "Aramus_guarauna" "Gruiformes" "Aramidae" "Aramus" "guarauna" "Aramus_guarauna"
"129" 2060 "Antigone_canadensis" "Gruiformes" "Gruidae" "Antigone" "canadensis" "Grus_canadensis"
"130" 2260 "Himantopus_mexicanus" "Charadriiformes" "Recurvirostridae" "Himantopus" "mexicanus" "Himantopus_mexicanus"
"131" 2250 "Recurvirostra_americana" "Charadriiformes" "Recurvirostridae" "Recurvirostra" "americana" "Recurvirostra_americana"
"132" 2860 "Haematopus_palliatus" "Charadriiformes" "Haematopodidae" "Haematopus" "palliatus" "Haematopus_palliatus"
"133" 2870 "Haematopus_bachmani" "Charadriiformes" "Haematopodidae" "Haematopus" "bachmani" "Haematopus_bachmani"
"134" 2700 "Pluvialis_squatarola" "Charadriiformes" "Charadriidae" "Pluvialis" "squatarola" "Pluvialis_squatarola"
"135" 2720 "Pluvialis_dominica" "Charadriiformes" "Charadriidae" "Pluvialis" "dominica" "Pluvialis_dominica"
"136" 2721 "Pluvialis_fulva" "Charadriiformes" "Charadriidae" "Pluvialis" "fulva" "Pluvialis_fulva"
"137" 2730 "Charadrius_vociferus" "Charadriiformes" "Charadriidae" "Charadrius" "vociferus" "Charadrius_vociferus"
"138" 2740 "Charadrius_semipalmatus" "Charadriiformes" "Charadriidae" "Charadrius" "semipalmatus" "Charadrius_semipalmatus"
"139" 2770 "Charadrius_melodus" "Charadriiformes" "Charadriidae" "Charadrius" "melodus" "Charadrius_melodus"
"140" 2800 "Charadrius_wilsonia" "Charadriiformes" "Charadriidae" "Charadrius" "wilsonia" "Charadrius_wilsonia"
"141" 2810 "Charadrius_montanus" "Charadriiformes" "Charadriidae" "Charadrius" "montanus" "Charadrius_montanus"
"142" 2780 "Charadrius_nivosus" "Charadriiformes" "Charadriidae" "Charadrius" "nivosus" "Charadrius_alexandrinus"
"143" 2610 "Bartramia_longicauda" "Charadriiformes" "Scolopacidae" "Bartramia" "longicauda" "Bartramia_longicauda"
"144" 2680 "Numenius_tahitiensis" "Charadriiformes" "Scolopacidae" "Numenius" "tahitiensis" "Numenius_tahitiensis"
"145" 2650 "Numenius_phaeopus" "Charadriiformes" "Scolopacidae" "Numenius" "phaeopus" "Numenius_phaeopus"
"146" 2640 "Numenius_americanus" "Charadriiformes" "Scolopacidae" "Numenius" "americanus" "Numenius_americanus"
"147" 2510 "Limosa_haemastica" "Charadriiformes" "Scolopacidae" "Limosa" "haemastica" "Limosa_haemastica"
"148" 2490 "Limosa_fedoa" "Charadriiformes" "Scolopacidae" "Limosa" "fedoa" "Limosa_fedoa"
"149" 2840 "Arenaria_melanocephala" "Charadriiformes" "Scolopacidae" "Arenaria" "melanocephala" "Arenaria_melanocephala"
"150" 2420 "Calidris_minutilla" "Charadriiformes" "Scolopacidae" "Calidris" "minutilla" "Calidris_minutilla"
"151" 2390 "Calidris_melanotos" "Charadriiformes" "Scolopacidae" "Calidris" "melanotos" "Calidris_melanotos"
"152" 2460 "Calidris_pusilla" "Charadriiformes" "Scolopacidae" "Calidris" "pusilla" "Calidris_pusilla"
"153" 2470 "Calidris_mauri" "Charadriiformes" "Scolopacidae" "Calidris" "mauri" "Calidris_mauri"
"155" 2310 "Limnodromus_griseus" "Charadriiformes" "Scolopacidae" "Limnodromus" "griseus" "Limnodromus_griseus"
"156" 2320 "Limnodromus_scolopaceus" "Charadriiformes" "Scolopacidae" "Limnodromus" "scolopaceus" "Limnodromus_scolopaceus"
"157" 2280 "Scolopax_minor" "Charadriiformes" "Scolopacidae" "Scolopax" "minor" "Scolopax_minor"
"158" 2300 "Gallinago_delicata" "Charadriiformes" "Scolopacidae" "Gallinago" "delicata" "Gallinago_gallinago"
"159" 2630 "Actitis_macularius" "Charadriiformes" "Scolopacidae" "Actitis" "macularius" "Actitis_macularius"
"160" 2560 "Tringa_solitaria" "Charadriiformes" "Scolopacidae" "Tringa" "solitaria" "Tringa_solitaria"
"161" 2590 "Tringa_incana" "Charadriiformes" "Scolopacidae" "Tringa" "incana" "Heteroscelus_incanus"
"162" 2550 "Tringa_flavipes" "Charadriiformes" "Scolopacidae" "Tringa" "flavipes" "Tringa_flavipes"
"163" 2555 "Tringa_melanoleuca" "Charadriiformes" "Scolopacidae" "Tringa" "melanoleuca" "Tringa_melanoleuca"
"164" 2580 "Tringa_semipalmata" "Charadriiformes" "Scolopacidae" "Tringa" "semipalmata" "Catoptrophorus_semipalmatus"
"165" 2540 "Tringa_melanoleuca" "Charadriiformes" "Scolopacidae" "Tringa" "melanoleuca" "Tringa_melanoleuca"
"166" 2240 "Steganopus_tricolor" "Charadriiformes" "Scolopacidae" "Phalaropus" "tricolor" "Steganopus_tricolor"
"167" 2230 "Phalaropus_lobatus" "Charadriiformes" "Scolopacidae" "Phalaropus" "lobatus" "Phalaropus_lobatus"
"168" 360 "Stercorarius_pomarinus" "Charadriiformes" "Stercorariidae" "Stercorarius" "pomarinus" "Stercorarius_pomarinus"
"169" 370 "Stercorarius_parasiticus" "Charadriiformes" "Stercorariidae" "Stercorarius" "parasiticus" "Stercorarius_parasiticus"
"170" 380 "Stercorarius_longicaudus" "Charadriiformes" "Stercorariidae" "Stercorarius" "longicaudus" "Stercorarius_longicaudus"
"171" 300 "Uria_aalge" "Charadriiformes" "Alcidae" "Uria" "aalge" "Uria_aalge"
